"name","category_name","min_price","max_price","position"
"limini+","シティサイクル","35980","","1"
"CORTEZ(コルテス)","シティサイクル","36980","","2"
"Punk Rock","シティサイクル","29980","","3"
"SIGNE(シグネ)","シティサイクル","23980","","4"
"CURIOUS(キュリオス)","シティサイクル","25980","","5"
"ComO'rade(コモラード)","シティサイクル","25980","","6"
"Dia Resto","シティサイクル","27980","","7"
"CURIOUS mini","シティサイクル","27980","","8"
"CONFITURE(コンフィチュール)","シティサイクル","29980","33300","9"
"ヴォラーレ","シティサイクル","29980","","10"
"グランディーノ","シティサイクル","29980","","11"
"Celesteno(セレスティーノ)","シティサイクル","29980","","12"
"RYフロートミックス266","シティサイクル","31980","","13"
"mimosa(ミモザ)","シティサイクル","32000","","14"
"Mixte City","シティサイクル","32980","","15"
"Arvita","シティサイクル","33980","","16"
"CHACLE ST","シティサイクル","37200","","17"
"CHACLE プレステッツァ","シティサイクル","38800","","18"
"イーストボーイ カジュアル","シティサイクル","38980","","19"
"プリマティークアルミノ263","シティサイクル","39980","","20"
"CHACLE SW","シティサイクル","41800","","21"
"ベガス","シティサイクル","43800","","22"
"イーストボーイ  デラックス","シティサイクル","43980","","23"
"MARKROSA M7","シティサイクル","44980","","24"
"MARKROSA 7S","シティサイクル","46000","46980","25"
"カゴ付きMARKROSA M7","シティサイクル","47880","","26"
"カゴ付きMARKROSA 7S","シティサイクル","48900","49880","27"
"EXクロス","シティサイクル","49800","","28"
"ロングティーン デラックス S型","シティサイクル","50980","","29"
"ロングティーン デラックス L型","シティサイクル","51980","","30"
"カゴ付きTB1","シティサイクル","54070","","31"
"カジュナ-デラックス-［ベーシックライン/スイートライン］","シティサイクル","55980","","32"
"アルベルト［S型］","シティサイクル","62980","64980","33"
"アルベルト［L型］","シティサイクル","62980","64980","34"
"フェンダー・カゴ付CYLVA F24","シティサイクル","64680","","35"
"フェンダー・カゴ付ORDINA F5B","シティサイクル","68530","","36"
"ビューアシスト","シティサイクル","72980","","37"
"アシスタファイン","シティサイクル","82480","","38"
"アシスタプリマ","シティサイクル","83980","","39"
"ビビ・SX","シティサイクル","85800","","40"
"PAS Cheer","シティサイクル","89980","","41"
"アシスタファインミニ","シティサイクル","91980","","42"
"フロンティア","シティサイクル","100980","","43"
"PAS With-2020モデル-","シティサイクル","100980","","44"
"アシスタU DX","シティサイクル","104800","","45"
"PAS With DX-2020モデル-","シティサイクル","106980","","46"
"PAS Ami","シティサイクル","107980","","47"
"ビビ・L","シティサイクル","108800","","48"
"ビビ・L・20","シティサイクル","108800","","49"
"ビビ・DX","シティサイクル","109480","","50"
"フロンティアラクット","シティサイクル","115980","","51"
"ティモ・I","シティサイクル","116800","","52"
"ティモ・L","シティサイクル","116800","","53"
"ティモ・DX","シティサイクル","118800","","54"
"ティモ・S","シティサイクル","118800","","55"
"PAS VIENTA5","シティサイクル","121000","","56"
"フロンティアデラックス","シティサイクル","123800","124800","57"
"ビビ・EX","シティサイクル","127980","","58"
"STEPCRUZ ステップクルーズe","シティサイクル","129800","","59"
"カジュナe","シティサイクル","129800","","60"
"ビビ・SX","電動自転車","85800","","61"
"ビビ・EX","電動自転車","127980","","62"
"PAS Cheer","電動自転車","89980","","63"
"TRANS MOBILLY E-Basic","電動自転車","59980","","64"
"TDN-206","電動自転車","63980","","65"
"TDN-208L","電動自転車","63980","","66"
"ビューアシスト","電動自転車","72980","","67"
"アシスタファイン","電動自転車","82480","","68"
"アシスタプリマ","電動自転車","83980","","69"
"TRANS MOBILLY E-MAGIC 207E","電動自転車","87980","","70"
"TRANS MOBILLY ULTRA LIGHT E-BIKE NEXT140","電動自転車","87980","","71"
"ヘッドレスト付チャイルドシート搭載アシスタファイン","電動自転車","91980","","72"
"アシスタファインミニ","電動自転車","91980","","73"
"TRANS MOBILLY ULTRA LIGHT E-BIKE NEXT163","電動自転車","91980","","74"
"ベロスター","電動自転車","98800","","75"
"ベロスター・ミニ","電動自転車","98800","","76"
"フロンティア","電動自転車","100980","","77"
"PAS With-2020モデル-","電動自転車","100980","","78"
"アシスタU DX","電動自転車","104800","","79"
"PAS With DX-2020モデル-","電動自転車","106980","","80"
"PAS Ami","電動自転車","107980","","81"
"Birthday","子供乗せ自転車","44980","","82"
"ギュット・アニーズ・DX","子供乗せ自転車","139800","","83"
"PAS Babby un SP -2020モデル-","子供乗せ自転車","135980","","84"
"ヘッドレスト付きチャイルドシート搭載Dia Resto","子供乗せ自転車","37480","","85"
"ヘッドレスト付チャイルドシート搭載グランディーノ","子供乗せ自転車","39480","","86"
"チャイルドシート搭載limini+","子供乗せ自転車","40960","","87"
"ヘッドレスト付きチャイルドシート搭載CONFITURE(コンフィチュール)","子供乗せ自転車","42800","","88"
"ヘッドレスト付チャイルドシート搭載limini+","子供乗せ自転車","45480","","89"
"ママフレロック206D","子供乗せ自転車","46900","","90"
"ふらっか～ずスティーナ","子供乗せ自転車","49980","","91"
"ヘッドレスト付きチャイルドシート搭載Birthday","子供乗せ自転車","54480","","92"
"ヘッドレスト付きチャイルドシート搭載ママフレロック206D","子供乗せ自転車","56400","","93"
"ヘッドレスト付チャイルドシート搭載アシスタファイン","子供乗せ自転車","91980","","94"
"アシスタC STD","子供乗せ自転車","111980","","95"
"ヘッドレスト付きチャイルドシート搭載ビビ・DX","子供乗せ自転車","118980","","96"
"3人乗り用チャイルドシート付きアシスタC STD","子供乗せ自転車","126550","","97"
"PAS kiss mini un SP -2020モデル-","子供乗せ自転車","129980","","98"
"3人乗りPAS Kiss mini un SP-2020モデル-","子供乗せ自転車","139480","","99"
"ギュット・アニーズ・DX・26","子供乗せ自転車","139800","","100"
"PAS Crew -2020モデル-","子供乗せ自転車","139980","","101"
"ギュット・クルームR・DX","子供乗せ自転車","142800","","102"
"bikke POLAR e （ビッケポーラー e）","子供乗せ自転車","143800","","103"
"3人乗りPAS Babby un SP-2020モデル-","子供乗せ自転車","148630","","104"
"bikke GRI dd","子供乗せ自転車","148800","","105"
"bikke MOB dd （ビッケモブdd）","子供乗せ自転車","148800","","106"
"ギュット・クルーム・DX","子供乗せ自転車","149800","","107"
"HYDEE.Ⅱ （ハイディ ツー）-2020モデル-","子供乗せ自転車","149980","","108"
"3人乗り用チャイルドシート付きギュット・アニーズ・DX","子供乗せ自転車","152450","","109"
"3人乗り用チャイルドシート付きギュット・アニーズ・DX・26","子供乗せ自転車","152450","","110"
"3人乗りPAS Crew -2020モデル-","子供乗せ自転車","152630","","111"
"3人乗り用チャイルドシート付きギュット・クルームR・DX","子供乗せ自転車","155450","","112"
"ギュット・クルームR・EX","子供乗せ自転車","161800","","113"
"3人乗り用チャイルドシート付きbikke POLAR e","子供乗せ自転車","161860","","114"
"ギュット・クルーム・EX","子供乗せ自転車","165800","","115"
"3人乗り用チャイルドシート付きbikke GRI dd","子供乗せ自転車","167840","","116"
"3人乗り用チャイルドシート付きbikke MOB dd","子供乗せ自転車","167840","","117"
"3人乗り用チャイルドシート付きギュット・クルーム・DX","子供乗せ自転車","171700","","118"
"3人乗り用チャイルドシート付きギュット・クルームR・EX","子供乗せ自転車","174450","","119"
"3人乗り用チャイルドシート付きギュット・クルーム・EX","子供乗せ自転車","187700","","120"
"CORTEZ(コルテス)","スポーツ自転車","36980","","121"
"RIGHTPATH(ライトパース)","スポーツ自転車","25980","","122"
"CHRYS(クライス)","スポーツ自転車","28980","","123"
"カゴ付きRIGHTPATH(ライトパース)","スポーツ自転車","29960","","124"
"ヴォラーレ","スポーツ自転車","29980","","125"
